groupId,compound,compoundId,formula,sample,adductName,peakMz,mzmin,mzmax,rt,rtmin,rtmax,quality,peakIntensity,peakArea,peakSplineArea,peakAreaTop,peakAreaCorrected,peakAreaTopCorrected,noNoiseObs,signalBaseLineRatio,fromBlankSample
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_04,,290.132996,290.132996,290.132996,7.610,7.560,7.670,0.849,9297.89,25558.94,21186.55,7198.12,25558.94,7198.12,11,929.79,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_20,,290.132996,290.132996,290.132996,7.610,7.570,7.670,0.848,28162.89,74054.28,61613.85,21543.14,74054.28,21543.14,11,710.95,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_21,,290.132996,290.132996,290.132996,7.610,7.560,7.670,0.849,25696.97,72541.89,60283.86,20156.41,72541.89,20156.41,11,1287.83,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_210,,290.132996,290.132996,290.132996,7.610,7.560,7.670,0.843,6248.09,17717.63,14511.02,4857.21,17254.51,4818.61,12,101.61,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_211,,290.132996,290.132996,290.132996,7.610,7.570,7.670,0.841,6578.33,18266.53,14984.45,5100.73,17756.47,5054.34,11,92.96,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_212,,290.132996,290.132996,290.132996,7.610,7.570,7.660,0.842,6475.17,17822.91,14692.03,5004.22,17434.23,4965.35,10,91.65,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_213,,290.132996,290.132996,290.132996,7.610,7.570,7.670,0.841,6814.15,18905.49,15532.58,5257.40,18470.57,5217.87,11,85.31,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_214,,290.132996,290.132996,290.132996,7.610,7.570,7.670,0.841,7319.89,19952.16,16383.26,5620.93,19326.04,5564.00,11,80.18,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_215,,290.132996,290.132996,290.132996,7.610,7.570,7.670,0.842,6456.44,17681.69,14575.45,5006.38,17299.05,4971.36,10,106.31,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_216,,290.132996,290.132996,290.132996,7.610,7.570,7.660,0.841,6275.76,17456.59,14376.63,4843.99,17034.83,4801.81,10,74.91,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_217,,290.132996,290.132996,290.132996,7.610,7.560,7.670,0.842,6428.96,18336.12,15021.95,5008.77,17877.60,4970.56,12,73.26,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_218,,290.132996,290.132996,290.132996,7.610,7.560,7.660,0.842,6207.79,17315.42,14245.26,4778.39,16874.18,4738.28,11,68.08,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_219,,290.132996,290.132996,290.132996,7.610,7.570,7.670,0.842,6804.05,18953.97,15600.66,5259.54,18332.70,5202.73,11,105.98,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_22,,290.132996,290.132996,290.132996,7.610,7.570,7.670,0.848,25247.56,66648.63,55399.41,19315.68,66648.63,19315.68,11,649.70,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_220,,290.132996,290.132996,290.132996,7.610,7.570,7.670,0.841,7277.61,20061.47,16438.56,5591.58,19474.10,5538.18,11,83.16,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_221,,290.132996,290.132996,290.132996,7.610,7.570,7.670,0.840,6044.92,16989.69,13941.44,4698.68,16465.49,4651.02,10,75.59,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_23,,290.132996,290.132996,290.132996,7.610,7.570,7.670,0.848,23437.69,62671.86,52030.16,17992.89,62671.86,17992.89,11,799.50,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_24,,290.132996,290.132996,290.132996,7.610,7.560,7.670,0.849,22643.46,61210.63,50898.26,17466.54,61210.63,17466.54,11,1232.59,0
1,cholic acid d4 neg mix8 confirm,cholic acid d4 neg mix8 confirm,,mtab_BIOSSCOPE_temporal_2023_061223_25,,290.132996,290.132996,290.132996,7.610,7.570,7.670,0.849,19946.36,53179.41,44119.93,15267.20,53179.41,15267.20,11,896.38,0
